tableName,columnName,value,description
WWMeasure,fractionAnalyzed,solid,Solid fraction. Fraction solide.
WWMeasure,type,covN1,SARS-CoV-2 nucleocapsid gene N1. Gène nucleocapside N1 du SRAS-CoV-2
WWMeasure,type,covN2,SARS-CoV-2 nucleocapsid gene N2. Gène nucleocapside N1 du SRAS-CoV-2
WWMeasure,type,nPPMoV,Pepper mild mottle virus. Virus de la marbrure légère du piment
WWMeasure,unit,gcMl,Gene copies per milliliter. Copies de gène par millilitre.
WWMeasure,aggregation,mean,Arithmetic mean. Moyenne arithmétique
Site,type,wwtpMuC,Municipal wastewater treatment plant for combined sewage. Station de traitement des eaux usées municipales pour égouts combinés.
Site,sampleTypeDefault,rawWW,Raw wastewater. Eau usée brute.
Site,sampleTypeDefault,pstGrit,Raw wastewater after a treatment plant's headworks. Eau usée après dégrillage et dessablage.
Site,sampleCollectionDefault,cpFP24h,A flow proportional 24-hour composite sample generally collected by an autosampler.
Site,sampleCollectionDefault,cpTP24h,A time proportional 24-hour composite sample generally collected by an autosampler. Un échantillon composite proportionnel au temps prélevé sur 24 heures, généralement prélevé par un auto-échantilonneur.
SiteMeasure,type,wwTSS,Total suspended solids concentration of the wastewater.  Matières en suspension.
SiteMeasure,type,wwFlow,Flow of wastewater. Débit d'eau usée.
SiteMeasure,type,wwTemp,Temperature of the wastewater. Température de l'eau usée.
SiteMeasure,type,wwpH,pH of the wastewater. Unités de pH
SiteMeasure,unit,mgL,Milligrams per liter. Milligrammes par litre.
SiteMeasure,unit,m3D,Cubic meters per day. Mètres cubiques par jour
SiteMeasure,unit,c,Degrees Celsius. Températures en degrés Celsius
SiteMeasure,unit,pH,pH units. Unités de pH
AssayMethod,unit,gcMl,Gene copies per milliliter.  Copies de gène par millilitre.
Instrument,type,lab,Offline laboratory analysis. Analyse en laboratoire hors ligne
Instrument,type,atline,An at line analyzer with sampler. Analyseur en ligne avec échantillonneur.
Polygon,type,swrCat,Sewer catchment area. Zone de captage des égouts.
