polygonID,name,pop,type,wkt,file,link
polyEGB,Gold Bar Edmonton,916985,swrCat,NA,wktPoly.csv,NA
polyHDA,Dartmouth Halifax,55287,swrCat,NA,wktPoly.csv,NA
polyHHA,Halifax Halifax,124148,swrCat,NA,wktPoly.csv,NA
polyHMC,Mill Cove Halifax,45712,swrCat,NA,wktPoly.csv,NA
polyMMN,Montréal Nord,1018516,swrCat,NA,wktPoly.csv,NA
polyMMS,Montréal Sud,1033404,swrCat,NA,wktPoly.csv,NA
polyTAB,Ashbridges Bay Toronto,1447246,swrCat,NA,wktPoly.csv,NA
polyTHC,Highland Creek Toronto,507980,swrCat,NA,wktPoly.csv,NA
polyTHU,Humber Toronto,674800,swrCat,NA,wktPoly.csv,NA
polyTNT,North Toronto,192089,swrCat,NA,wktPoly.csv,NA
polyVAI,Annacis Island  Vancouver,1419919,swrCat,NA,wktPoly.csv,NA
polyVII,Iona Island Vancouver,771638,swrCat,NA,wktPoly.csv,NA
polyVLG,Lions Gate Vancouver,196892,swrCat,NA,wktPoly.csv,NA
polyVLI,Lulu Island Vancouver,204166,swrCat,NA,wktPoly.csv,NA
polyVNL,Northwest Langley Vancouver,42981,swrCat,NA,wktPoly.csv,NA
