sampleID,siteID,instrumentID,reporterID,dateTime,dateTimeStart,dateTimeEnd,type,typeOther,collection,collectionOther,preTreatment,preTreatmentDescription,pooled,children,parent,sizeL,fieldSampleTempC,shippedOnIce,storageTempC,qualityFlag,notes
TAB_20210401,TAB,autosamplerTAB,NA,NA,2021-04-01 17:00:00,2021-04-02 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
TAB_20210404,TAB,autosamplerTAB,NA,NA,2021-04-04 17:00:00,2021-04-05 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THC_20210401,THC,autosamplerTHC,NA,NA,2021-04-01 08:00:00,2021-04-02 08:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THC_20210404,THC,autosamplerTHC,NA,NA,2021-04-04 08:00:00,2021-04-05 08:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THU_20210401,THU,autosamplerTHU,NA,NA,2021-04-01 00:00:00,2021-04-02 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THU_20210404,THU,autosamplerTHU,NA,NA,2021-04-04 00:00:00,2021-04-05 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
TNT_20210401,TNT,autosamplerTNT,NA,NA,2021-04-01 17:00:00,2021-04-02 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
TNT_20210404,TNT,autosamplerTNT,NA,NA,2021-04-04 17:00:00,2021-04-05 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
EGB_20210404,EGB,autosamplerEGB,NA,NA,2021-04-04 00:00:00,2021-04-05 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
TAB_20210406,TAB,autosamplerTAB,NA,NA,2021-04-06 17:00:00,2021-04-07 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THC_20210406,THC,autosamplerTHC,NA,NA,2021-04-06 08:00:00,2021-04-07 08:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THU_20210406,THU,autosamplerTHU,NA,NA,2021-04-06 00:00:00,2021-04-07 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
TNT_20210406,TNT,autosamplerTNT,NA,NA,2021-04-06 17:00:00,2021-04-07 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
VAI_20210401,VAI,autosamplerVAI,NA,NA,2021-04-01 00:00:00,2021-04-02 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
VAI_20210404,VAI,autosamplerVAI,NA,NA,2021-04-04 00:00:00,2021-04-05 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
VAI_20210408,VAI,autosamplerVAI,NA,NA,2021-04-08 00:00:00,2021-04-09 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
VAI_20210411,VAI,autosamplerVAI,NA,NA,2021-04-11 00:00:00,2021-04-12 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
VII_20210401,VII,autosamplerVII,NA,NA,2021-04-01 00:00:00,2021-04-02 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Overcast
VII_20210404,VII,autosamplerVII,NA,NA,2021-04-04 00:00:00,2021-04-05 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Clear
VII_20210408,VII,autosamplerVII,NA,NA,2021-04-08 00:00:00,2021-04-09 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Cloudy
VII_20210411,VII,autosamplerVII,NA,NA,2021-04-11 00:00:00,2021-04-12 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Clear
VLG_20210401,VLG,autosamplerVLG,NA,NA,2021-04-01 00:00:00,2021-04-02 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Overcast
VLG_20210404,VLG,autosamplerVLG,NA,NA,2021-04-04 00:00:00,2021-04-05 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Clear
VLG_20210408,VLG,autosamplerVLG,NA,NA,2021-04-08 00:00:00,2021-04-09 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Cloudy
VLG_20210411,VLG,autosamplerVLG,NA,NA,2021-04-11 00:00:00,2021-04-12 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,Clear
